experiment_id,submitted_at_utc,model_summary,change_from_previous,validation_scheme,validation_score,kaggle_code_url,kaggle_code_version,submission_status,public_score,notes
c01,2026-08-03T05:43:20.547Z,Naji 10-blend aligned baseline,First scored baseline,Five-fold aligned OOF,0.969472891,https://www.kaggle.com/code/beicicc/s6e8-frontier-blend-experiments,1,COMPLETE,0.97062,Official submission 55203514
c02,2026-08-03T05:50:36.093Z,Szymon 54-model honest logistic stack,Independent public stack baseline,Five-fold aligned OOF,0.969430000,https://www.kaggle.com/code/beicicc/s6e8-frontier-blend-experiments,2,COMPLETE,0.97061,Official submission 55203667
c03,2026-08-03T05:54:36.013Z,Missingness-regime 55-model logistic stack,Adds conditional reliability interactions,Five-fold aligned OOF,0.969496552,https://www.kaggle.com/code/beicicc/s6e8-frontier-blend-experiments,3,COMPLETE,0.97068,Official submission 55203770
c04,2026-08-03T05:59:12.053Z,Missingness-aware rank residual blend,Conditional rank blend over C03 and C01,Five-fold aligned OOF,0.969512400,https://www.kaggle.com/code/beicicc/s6e8-frontier-blend-experiments,4,COMPLETE,0.97069,Official submission 55203854
c05,2026-08-03T06:03:02.390Z,Global 70-30 rank blend,Removes the missingness-conditioned weights,Five-fold aligned OOF,0.969511008,https://www.kaggle.com/code/beicicc/s6e8-frontier-blend-experiments,5,COMPLETE,0.97068,Official submission 55203925
c06,2026-08-03T07:06:38.513Z,Fold-safe lattice target-encoding LightGBM,Adds a competition-specific lattice and frequency-encoding view,Five-fold stratified OOF,0.968043176,https://www.kaggle.com/code/beicicc/s6e8-frontier-blend-experiments,7,COMPLETE,0.96945,Official submission 55205116
c07,2026-08-03T07:13:50.503Z,Lattice target encoding with wide residual blend,Adds 15 percent constraint-feature residual to C06,Five-fold stratified OOF,0.968189488,https://www.kaggle.com/code/beicicc/s6e8-frontier-blend-experiments,8,COMPLETE,0.96951,Official submission 55205285
c08,2026-08-03T08:15:53.933Z,Independent-seed lattice rank residual,Adds a fixed 10 percent rank residual to C04,Five-fold stratified OOF,0.969537953,https://www.kaggle.com/code/beicicc/s6e8-seed-diversity-residual-audit,4,COMPLETE,0.97067,Official submission 55206644; different outer partition did not improve the public score
c09,2026-08-03T09:41:43.013Z,Fixed-partition lattice plus strict RealMLP meta residual,Adds a fixed-epoch neural member and the seed-42 lattice to C04 postprocessing,Five-fold OOF with lattice stopping rounds selected on outer validation,0.969561426,https://www.kaggle.com/code/beicicc/s6e8-strict-realmlp-residual-audit,4,COMPLETE,0.97069,Official submission 55208326; matched the best score; later strict candidates exclude the lattice component
c10,2026-08-03T12:51:22.317Z,Strict RealMLP plus T4 TabNet native-float64 meta residual,Adds two fixed-epoch fold-safe neural members to C04 postprocessing,Five-fold fixed-partition strict OOF,0.969552734,https://www.kaggle.com/code/beicicc/s6e8-strict-neural-residual-audit,3,COMPLETE,0.97068,Official submission 55212064; improved 5/5 folds versus C04 but lost 0/5 versus C09; introduced an incumbent head-to-head gate
c11,2026-08-05T00:26:37.273Z,74-member missingness-regime public-provenance diagnostic,Adds the lookup representation and nineteen August 4 public library members,Five-fold seed-42 meta OOF with outer-validation checkpoint sources flagged,0.969687000,https://www.kaggle.com/code/beicicc/s6e8-aug-5-frontier-provenance-audit,1,COMPLETE,0.97084,Official submission 55253497; exact SHA-256 dfab8189916804b26c7a8405f37ed0fe36daafc6bb7c0856d6fabbebe9884182; diagnostic rather than strict fixed-epoch evidence
c12,2026-08-05T00:32:29.487Z,Regime74 plus global77 one-third rank mixture,Adds three factorization-machine views through a fixed one-third rank mixture,Five-fold seed-42 diagnostic meta OOF with 5 of 5 fold gains versus C11,0.969697000,https://www.kaggle.com/code/beicicc/s6e8-aug-5-frontier-provenance-audit,2,COMPLETE,0.97084,Official submission 55253629; exact SHA-256 413ce92a9af978b7d7ba9fbb0d4d409fec6a2c798d690d8c5b9601520a1209e5; tied C11 at displayed public precision
c13,2026-08-05T00:48:11.267Z,C11 plus 25 percent Naji14 rank residual,Adds a bounded rank residual from Naji's public version-14 artifact,Five-fold seed-42 diagnostic OOF with 5 of 5 fold gains versus C11,0.969694841,https://www.kaggle.com/code/beicicc/s6e8-aug-5-frontier-provenance-audit,3,COMPLETE,0.97084,Official submission 55253901; exact SHA-256 28c91016590a018fad35f5a45b444e60df6c1773265cacce00acc68c9a49e5a0; tied C11 and C12; underlying Naji14 blend-selection provenance is incomplete
c14,2026-08-05T00:58:46.150Z,Strict two-seed RealMLP plus TabNet meta residual,Replaces the single RealMLP member with a fixed two-seed within-fold average,Five-fold fixed-partition strict OOF with 5 of 5 gains versus C04 C10 and C09,0.969562914,https://www.kaggle.com/code/beicicc/s6e8-realmlp-seed01-strict-meta-20260805,2,COMPLETE,0.97068,Official submission 55254118; exact SHA-256 9780e0c040c20b8957d750edbb5f6ead872806fbf7f1e3681dac160d88269d09; failed the live C11-C13 incumbent set that arose while the experiment was running; introduced pre-upload incumbent refresh
c15,2026-08-05T01:14:46.247Z,C11 plus 50 percent Naji14 rank residual,Uses the smallest locked Naji14 weight that clears the refreshed C12 gate,Five-fold seed-42 diagnostic OOF with 4 of 5 fold gains versus C12,0.969700304,https://www.kaggle.com/code/beicicc/s6e8-aug-5-frontier-provenance-audit,4,COMPLETE,0.97084,Official submission 55254409; exact SHA-256 8d5b926d8e5455d6acf713999b751d1de2a5a21c70360561b977c4e29046c87b; tied the project best; underlying Naji14 blend-selection provenance is incomplete
c16,2026-08-05T01:20:47.253Z,C11 plus 65 percent Naji14 rank residual,Advances to the next locked Naji14 weight after C15,Five-fold seed-42 diagnostic OOF with 5 of 5 fold gains versus C15,0.969702443,https://www.kaggle.com/code/beicicc/s6e8-aug-5-frontier-provenance-audit,5,COMPLETE,0.97083,Official submission 55254527; exact SHA-256 c7962ed1ffbbabedff40d06827cd42337f9623b6683a49105f419f110026fbd8; lower public transfer stopped further same-source weight escalation
c17,2026-08-05T01:30:47.820Z,C12 plus 35 percent Naji14 rank residual,Restores the factorization-machine views while reducing the Naji14 weight,Five-fold seed-42 diagnostic OOF with 4 of 5 fold gains versus C16,0.969704758,https://www.kaggle.com/code/beicicc/s6e8-aug-5-frontier-provenance-audit,6,COMPLETE,0.97084,Official submission 55254723; exact SHA-256 c01bd7be88da0b7c3cd8c977ee41362cb4fc23257a98bec626bdeaf8621ced26; restored the project best at displayed precision
c18,2026-08-05T01:41:02.527Z,C17 plus 2.5 percent strict C09 rank residual,Uses the first passing point in a locked strict C09 residual sequence,Five-fold seed-42 aligned OOF with 5 of 5 fold gains versus C17,0.969706359,https://www.kaggle.com/code/beicicc/s6e8-aug-5-frontier-provenance-audit,7,COMPLETE,0.97084,Official submission 55254916; exact SHA-256 ae2c4e4945e9830c7f79533b025e8218448b8176286fdc20791cb84b54b4d4ed; tied the project best; the broader blend remains diagnostic
c19,2026-08-05T01:50:00.130Z,C18 minus 1 percent Golem Strategy D rank corrector,Adds a small negative ordered-CatBoost corrector and reranks globally,Five-fold seed-42 diagnostic OOF with 4 of 5 fold gains versus C18,0.969708634,https://www.kaggle.com/code/beicicc/s6e8-aug-5-frontier-provenance-audit,8,COMPLETE,0.97085,Official submission 55255110; exact SHA-256 0147c78dc9d860efb89db59faccbc9f18cddfb596ea54804e8d7cbc06682f58f; new project best; source-informed post-hoc diagnostic with no-ID source arrays
c20,2026-08-05T02:15:49.973Z,C19 with total 5 percent strict C09 allocation,Uses the only locked backup point and preserves the frozen Golem correction,Five-fold seed-42 aligned OOF with 5 of 5 fold gains versus C19,0.969710125,https://www.kaggle.com/code/beicicc/s6e8-aug-5-frontier-provenance-audit,9,COMPLETE,0.97085,Official submission 55255607; exact SHA-256 06eea1340ea2fb3d68602a2509a285ff67268c75d0239789b1671e604a7c7734; tied the project best; broader blend remains diagnostic
